Speed,direction,precipitation
3.0864,340,0.070833333
5.144,340,0.070833333
6.6872,315,0.070833333
7.2016,315,0.070833333
5.144,315,0.070833333
5.144,300,0.070833333
5.144,300,0.070833333
3.6008,280,0.070833333
2.0576,270,0.070833333
2.0576,300,0.070833333
5.6584,285,0.070833333
6.6872,300,0.070833333
6.1728,300,0.070833333
5.144,300,0.070833333
3.0864,300,0.070833333
3.0864,285,0.070833333
6.1728,280,0.070833333
7.716,260,0.070833333
9.2592,270,0
9.2592,285,0
7.2016,280,0
12.3456,280,0
14.4032,280,0
15.432,280,0
10.288,270,0
5.144,270,0
3.0864,280,0
8.2304,285,0
10.288,280,0
11.3168,280,0
11.3168,280,0
8.2304,270,0
9.2592,280,0
10.288,260,0
9.2592,280,0
9.2592,270,0
6.6872,270,0
5.144,255,0
2.572,270,0
3.0864,320,0
2.0576,150,0
1.5432,320,0
3.6008,330,0
4.1152,330,0
6.1728,315,0
4.6296,360,0
2.0576,30,0
2.0576,350,0
2.572,310,0
4.6296,300,0
6.1728,300,0
6.1728,310,0
6.1728,310,0
8.2304,285,0
8.2304,270,0
10.288,280,0
11.3168,255,0
10.288,255,0
8.2304,270,0
8.2304,270,0
6.6872,270,0
5.144,270,0
4.6296,285,0
3.6008,285,0
2.572,270,0
4.1152,340,0
2.572,350,0
3.0864,340,0
3.0864,300,0
3.6008,300,0
2.572,340,0
2.572,315,0
3.0864,300,0
5.6584,300,0
5.144,310,0
5.144,330,0
8.2304,315,0
8.2304,300,0
9.2592,300,0
9.2592,300,0
9.2592,325,0
8.2304,315,0
8.2304,315,0
7.2016,315,0
8.2304,315,0
5.6584,320,0
5.144,330,0
5.144,320,0
3.6008,330,0
2.572,330,0
1.5432,300,0.041666667
3.0864,310,0.041666667
3.0864,290,0.041666667
4.1152,290,0.041666667
4.1152,300,0.041666667
2.0576,340,0.041666667
3.6008,10,0.041666667
5.144,10,0.041666667
5.6584,300,0.041666667
8.2304,280,0.041666667
7.716,280,0.041666667
8.2304,280,0.041666667
8.2304,290,0.041666667
5.144,150,0.041666667
3.0864,140,0.041666667
3.6008,280,0.041666667
4.1152,270,0.041666667
4.1152,280,0.041666667
4.6296,280,0.041666667
2.572,260,0.041666667
1.5432,260,0.041666667
1.5432,250,0.041666667
2.0576,280,0.041666667
0.5144,60,0.041666667
2.572,30,0.091666667
2.0576,10,0.091666667
2.0576,10,0.091666667
1.5432,350,0.091666667
2.572,360,0.091666667
2.0576,50,0.091666667
2.572,50,0.091666667
3.6008,30,0.091666667
4.1152,40,0.091666667
3.6008,40,0.091666667
4.1152,350,0.091666667
